Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     12.55     0.00      175     0.00     0.00  objUnrefVector
  0.00     12.55     0.00      162     0.00     0.00  regExpGetRegister
  0.00     12.55     0.00      150     0.00    10.47  executeAssign
  0.00     12.55     0.00      150     0.00    10.46  executeSource
  0.00     12.55     0.00      145     0.00     0.00  executeLabel
  0.00     12.55     0.00      136     0.00     0.00  executeConstant
  0.00     12.55     0.00      120     0.00     0.00  regAllocate
  0.00     12.55     0.00       79     0.00     0.01  executeGoto
  0.00     12.55     0.00       79     0.00     0.01  executeTarget
  0.00     12.55     0.00       78     0.00    19.13  executePerform
  0.00     12.55     0.00       74     0.00     0.00  objGetBoolean
  0.00     12.55     0.00       74     0.00     0.00  objIsBoolean
  0.00     12.55     0.00       68     0.00     0.00  rsAddPrimitive
  0.00     12.55     0.00       33     0.00     0.00  objRefInputPort
  0.00     12.55     0.00       33     0.00     0.00  objUnrefInputPort
  0.00     12.55     0.00       32     0.00     0.00  objRefString
  0.00     12.55     0.00       32     0.00     0.00  objUnrefString
  0.00     12.55     0.00       31     0.00     0.00  yy_get_next_buffer
  0.00     12.55     0.00       29     0.00     0.00  yy_get_previous_state
  0.00     12.55     0.00       28     0.00     0.00  objMakeBoolean
  0.00     12.55     0.00       26     0.00     0.00  executeBranch
  0.00     12.55     0.00       26     0.00    19.13  executeTest
  0.00     12.55     0.00       26     0.00     0.00  objIsTrue
  0.00     12.55     0.00       26     0.00     0.00  regIsTrue
  0.00     12.55     0.00       24     0.00     0.00  objIsEqBoolean
  0.00     12.55     0.00       22     0.00     0.00  objIsEqInputPort
  0.00     12.55     0.00       18     0.00     0.00  currentInputPort
  0.00     12.55     0.00       17     0.00     0.00  portGetYYBuffer
  0.00     12.55     0.00       17     0.00     0.00  sc_load_buffer_state
  0.00     12.55     0.00       15     0.00     0.00  currentOutputPort
  0.00     12.55     0.00       14     0.00     0.00  objIsEqOutputPort
  0.00     12.55     0.00       14     0.00     0.00  objIsInputPort
  0.00     12.55     0.00       14     0.00     0.00  sc_flush_buffer
  0.00     12.55     0.00       12     0.00     0.00  objIsString
  0.00     12.55     0.00       12     0.00     0.00  yy_flex_alloc
  0.00     12.55     0.00       12     0.00     0.00  yy_flex_free
  0.00     12.55     0.00       11     0.00     0.00  objGetInputPortYYBuffer
  0.00     12.55     0.00       11     0.00     0.00  portGetFile
  0.00     12.55     0.00       11     0.00     0.00  regGetInputPortYYBuffer
  0.00     12.55     0.00       11     0.00     0.00  scSetCurrentYYBuffer
  0.00     12.55     0.00       11     0.00     0.00  sc_switch_to_buffer
  0.00     12.55     0.00       10     0.00     0.04  checkArgsEQ
  0.00     12.55     0.00        8     0.00     0.00  objGetString
  0.00     12.55     0.00        8     0.00     0.00  objRefOutputPort
  0.00     12.55     0.00        8     0.00     0.00  objUnrefOutputPort
  0.00     12.55     0.00        8     0.00     0.00  sc_init_buffer
  0.00     12.55     0.00        7     0.00     0.00  makePort
  0.00     12.55     0.00        7     0.00     0.00  objDeleteString
  0.00     12.55     0.00        7     0.00     0.00  objMakeString
  0.00     12.55     0.00        7     0.00     0.00  portDelete
